Centro,Distrito Centro,Tramo Edad,Proceso,N_demandas
CSS Luis Vives,CIUDAD LINEAL,40 - 44,RENTA MINÍMA DE INSERCIÓN,6
CSS Luis Vives,CIUDAD LINEAL,40 - 44,TRABAJO Y EMPLEO,21
CSS Luis Vives,CIUDAD LINEAL,40 - 44,TRABAJO Y EMPLEO CM,1
CSS Luis Vives,CIUDAD LINEAL,40 - 44,VIVIENDA,11
CSS Luis Vives,CIUDAD LINEAL,40 - 44,VIVIENDA CM,2
CSS Luis Vives,CIUDAD LINEAL,45 - 49,ASOCIACIONES ONG,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,AYUDA COMEDOR ESCOLAR,2
CSS Luis Vives,CIUDAD LINEAL,45 - 49,AYUDA ECONÓMICA COMEDOR ESCOLAR,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,6
CSS Luis Vives,CIUDAD LINEAL,45 - 49,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,2
CSS Luis Vives,CIUDAD LINEAL,45 - 49,AYUDA ESCUELA INFANTIL,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,BECAS COMEDOR ESCOLAR CM,2
CSS Luis Vives,CIUDAD LINEAL,45 - 49,COBERTURA NECESIDADES BASICAS,9
CSS Luis Vives,CIUDAD LINEAL,45 - 49,CURSOS Y ACTIVIDADES DE FORMACIÓN,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,DEPENDENCIA CM,5
CSS Luis Vives,CIUDAD LINEAL,45 - 49,EDUCADOR SOCIAL,2
CSS Luis Vives,CIUDAD LINEAL,45 - 49,INFORME DERIVACION GENERAL,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,INFORME SOCIAL GENERAL,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,INGRESO MÍNIMO VITAL,6
CSS Luis Vives,CIUDAD LINEAL,45 - 49,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,6
CSS Luis Vives,CIUDAD LINEAL,45 - 49,PENSION NO CONTRIBUTIVA CM,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,RENTA MINÍMA DE INSERCIÓN,7
CSS Luis Vives,CIUDAD LINEAL,45 - 49,SERCAF MENORES,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,SERVICIO AYUDA A DOMICILIO DISCAPACITADOS DEPENDENCIA,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,1
CSS Luis Vives,CIUDAD LINEAL,45 - 49,TRABAJO Y EMPLEO,22
CSS Luis Vives,CIUDAD LINEAL,45 - 49,TRABAJO Y EMPLEO CM,4
CSS Luis Vives,CIUDAD LINEAL,45 - 49,VIVIENDA,5
CSS Luis Vives,CIUDAD LINEAL,50 - 54,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,6
CSS Luis Vives,CIUDAD LINEAL,50 - 54,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,2
CSS Luis Vives,CIUDAD LINEAL,50 - 54,COBERTURA NECESIDADES BASICAS,5
CSS Luis Vives,CIUDAD LINEAL,50 - 54,COMEDOR SOCIAL CM,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,CURSOS Y ACTIVIDADES DE FORMACIÓN,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,DEPENDENCIA CM,11
CSS Luis Vives,CIUDAD LINEAL,50 - 54,EDUCADOR SOCIAL,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,INFORME DERIVACION GENERAL,3
CSS Luis Vives,CIUDAD LINEAL,50 - 54,INFORME SOCIAL GENERAL,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,INGRESO MÍNIMO VITAL,16
CSS Luis Vives,CIUDAD LINEAL,50 - 54,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,3
CSS Luis Vives,CIUDAD LINEAL,50 - 54,PROYECTOS PROPIOS DEL DISTRITO,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,RENTA MINÍMA DE INSERCIÓN,5
CSS Luis Vives,CIUDAD LINEAL,50 - 54,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,5
CSS Luis Vives,CIUDAD LINEAL,50 - 54,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS EXCEPCIONAL,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,TELEASISTENCIA DISCAPACITADOS ASP,4
CSS Luis Vives,CIUDAD LINEAL,50 - 54,TELEASISTENCIA MAYORES ASP,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,TRABAJO Y EMPLEO,28
CSS Luis Vives,CIUDAD LINEAL,50 - 54,TRABAJO Y EMPLEO CM,1
CSS Luis Vives,CIUDAD LINEAL,50 - 54,VIVIENDA,10
CSS Luis Vives,CIUDAD LINEAL,50 - 54,VIVIENDA CM,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,CENTRO ATENCIÓN PERSONAS SIN HOGAR / PUE,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,CENTRO DE ACOGIDA JUAN LUIS VIVES,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,COBERTURA NECESIDADES BASICAS,9
CSS Luis Vives,CIUDAD LINEAL,55 - 59,CURSOS Y ACTIVIDADES DE FORMACIÓN,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,DEPENDENCIA CM,9
CSS Luis Vives,CIUDAD LINEAL,55 - 59,INFORME DERIVACION GENERAL,5
CSS Luis Vives,CIUDAD LINEAL,55 - 59,INGRESO MÍNIMO VITAL,12
CSS Luis Vives,CIUDAD LINEAL,55 - 59,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,PENSION NO CONTRIBUTIVA INVALIDEZ,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,PROYECTOS PROPIOS DEL DISTRITO,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,RENTA MINÍMA DE INSERCIÓN,5
CSS Luis Vives,CIUDAD LINEAL,55 - 59,SALUD Y SEGURIDAD SOCIAL CM,2
CSS Luis Vives,CIUDAD LINEAL,55 - 59,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,2
CSS Luis Vives,CIUDAD LINEAL,55 - 59,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,4
CSS Luis Vives,CIUDAD LINEAL,55 - 59,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS EXCEPCIONAL,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,TELEASISTENCIA DISCAPACITADOS ASP,1
CSS Luis Vives,CIUDAD LINEAL,55 - 59,TELEASISTENCIA MAYORES ASP,3
CSS Luis Vives,CIUDAD LINEAL,55 - 59,TRABAJO Y EMPLEO,20
CSS Luis Vives,CIUDAD LINEAL,55 - 59,TRABAJO Y EMPLEO CM,4
CSS Luis Vives,CIUDAD LINEAL,55 - 59,VIVIENDA,9
CSS Luis Vives,CIUDAD LINEAL,60 - 64,APARTAMENTOS MUNICIPALES DE MAYORES,3
CSS Luis Vives,CIUDAD LINEAL,60 - 64,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,1
CSS Luis Vives,CIUDAD LINEAL,60 - 64,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,2
CSS Luis Vives,CIUDAD LINEAL,60 - 64,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Luis Vives,CIUDAD LINEAL,60 - 64,COBERTURA NECESIDADES BASICAS,10
CSS Luis Vives,CIUDAD LINEAL,60 - 64,COMIDA A DOMICILIO,1
CSS Luis Vives,CIUDAD LINEAL,60 - 64,CURSOS Y ACTIVIDADES DE FORMACIÓN,3
CSS Luis Vives,CIUDAD LINEAL,60 - 64,DEPENDENCIA CM,24
CSS Luis Vives,CIUDAD LINEAL,60 - 64,INFORME DERIVACION GENERAL,1
CSS Luis Vives,CIUDAD LINEAL,60 - 64,INGRESO MÍNIMO VITAL,17
CSS Luis Vives,CIUDAD LINEAL,60 - 64,PENSION NO CONTRIBUTIVA CM,3
CSS Luis Vives,CIUDAD LINEAL,60 - 64,RENTA MINÍMA DE INSERCIÓN,2
CSS Luis Vives,CIUDAD LINEAL,60 - 64,RESIDENCIA MAYORES AUTONOMOS CM,1
CSS Luis Vives,CIUDAD LINEAL,60 - 64,SALUD Y SEGURIDAD SOCIAL CM,2
CSS Luis Vives,CIUDAD LINEAL,60 - 64,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,3
CSS Luis Vives,CIUDAD LINEAL,60 - 64,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,3
CSS Luis Vives,CIUDAD LINEAL,60 - 64,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS EXCEPCIONAL,1
CSS Luis Vives,CIUDAD LINEAL,60 - 64,TELEASISTENCIA DISCAPACITADOS ASP,6
CSS Luis Vives,CIUDAD LINEAL,60 - 64,TELEASISTENCIA MAYORES ASP,3
CSS Luis Vives,CIUDAD LINEAL,60 - 64,TRABAJO Y EMPLEO,13
CSS Luis Vives,CIUDAD LINEAL,60 - 64,TRABAJO Y EMPLEO CM,1
CSS Luis Vives,CIUDAD LINEAL,60 - 64,VIVIENDA,10
CSS Luis Vives,CIUDAD LINEAL,65 - 69,APARTAMENTOS MUNICIPALES DE MAYORES,5
CSS Luis Vives,CIUDAD LINEAL,65 - 69,ASOCIACIONES ONG,2
CSS Luis Vives,CIUDAD LINEAL,65 - 69,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,4
CSS Luis Vives,CIUDAD LINEAL,65 - 69,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,AYUDAS ACONDICIONAMIENTO GERIATRICO,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,3
CSS Luis Vives,CIUDAD LINEAL,65 - 69,CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),2
CSS Luis Vives,CIUDAD LINEAL,65 - 69,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),2
CSS Luis Vives,CIUDAD LINEAL,65 - 69,CENTRO DE DÍA DEPENDENCIA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,CENTROS MUNICIPALES MAYORES,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,COBERTURA NECESIDADES BASICAS,3
CSS Luis Vives,CIUDAD LINEAL,65 - 69,COMIDA A DOMICILIO,3
CSS Luis Vives,CIUDAD LINEAL,65 - 69,CUIDAR A QUIENES CUIDAN,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,DEPENDENCIA CM,27
CSS Luis Vives,CIUDAD LINEAL,65 - 69,INGRESO MÍNIMO VITAL,5
CSS Luis Vives,CIUDAD LINEAL,65 - 69,PENSION NO CONTRIBUTIVA CM,8
CSS Luis Vives,CIUDAD LINEAL,65 - 69,PISOS TUTELADOS MAYORES CM,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,PROYECTOS PROPIOS DEL DISTRITO,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,RESIDENCIA MAYORES AUTONOMOS CM,4
CSS Luis Vives,CIUDAD LINEAL,65 - 69,SALUD Y SEGURIDAD SOCIAL CM,2
CSS Luis Vives,CIUDAD LINEAL,65 - 69,SERVICIO  FISIOTERAPIA PREVENTIVA,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,10
CSS Luis Vives,CIUDAD LINEAL,65 - 69,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,TELEASISTENCIA MAYORES ASP,22
CSS Luis Vives,CIUDAD LINEAL,65 - 69,TELEASISTENCIA MAYORES DEPENDENCIA,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,TRABAJO Y EMPLEO,1
CSS Luis Vives,CIUDAD LINEAL,65 - 69,VIVIENDA,3
CSS Luis Vives,CIUDAD LINEAL,70 - 74,ALOJAMIENTO TEMPORAL MAYORES,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,AYUDAS ACONDICIONAMIENTO GERIATRICO,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),2
CSS Luis Vives,CIUDAD LINEAL,70 - 74,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),4
CSS Luis Vives,CIUDAD LINEAL,70 - 74,CENTROS MUNICIPALES MAYORES,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,COBERTURA NECESIDADES BASICAS,3
CSS Luis Vives,CIUDAD LINEAL,70 - 74,COMIDA A DOMICILIO,2
CSS Luis Vives,CIUDAD LINEAL,70 - 74,DEPENDENCIA CM,33
CSS Luis Vives,CIUDAD LINEAL,70 - 74,INFORME DERIVACION GENERAL,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,INGRESO MÍNIMO VITAL,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,PENSION NO CONTRIBUTIVA CM,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,PISOS TUTELADOS MAYORES CM,3
CSS Luis Vives,CIUDAD LINEAL,70 - 74,PROYECTOS PROPIOS DEL DISTRITO,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,RENTA MINÍMA DE INSERCIÓN,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,RESIDENCIA TEMPORAL MAYORES CM,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,RETORNO VOLUNTARIO PAIS DE ORIGEN,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,SALUD Y SEGURIDAD SOCIAL CM,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,2
CSS Luis Vives,CIUDAD LINEAL,70 - 74,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,35
CSS Luis Vives,CIUDAD LINEAL,70 - 74,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,1
CSS Luis Vives,CIUDAD LINEAL,70 - 74,TELEASISTENCIA MAYORES ASP,52
CSS Luis Vives,CIUDAD LINEAL,70 - 74,TELEASISTENCIA MAYORES DEPENDENCIA,2
CSS Luis Vives,CIUDAD LINEAL,70 - 74,VIVIENDA,3
CSS Luis Vives,CIUDAD LINEAL,75 - 79,ASOCIACIONES ONG,1
CSS Luis Vives,CIUDAD LINEAL,75 - 79,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Luis Vives,CIUDAD LINEAL,75 - 79,CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),8
CSS Luis Vives,CIUDAD LINEAL,75 - 79,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),5
CSS Luis Vives,CIUDAD LINEAL,75 - 79,CENTRO DE DÍA DEPENDENCIA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),1
CSS Luis Vives,CIUDAD LINEAL,75 - 79,CENTROS MUNICIPALES MAYORES,1
CSS Luis Vives,CIUDAD LINEAL,75 - 79,COMIDA A DOMICILIO,6
CSS Luis Vives,CIUDAD LINEAL,75 - 79,DEPENDENCIA CM,75
CSS Luis Vives,CIUDAD LINEAL,75 - 79,RESIDENCIA (MAYORES CON DETERIORO FÍSICO O RELACIONAL) ,1
CSS Luis Vives,CIUDAD LINEAL,75 - 79,RESIDENCIA MAYORES AUTONOMOS CM,1
CSS Luis Vives,CIUDAD LINEAL,75 - 79,RESIDENCIA TEMPORAL MAYORES CM,2
CSS Luis Vives,CIUDAD LINEAL,75 - 79,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,7
CSS Luis Vives,CIUDAD LINEAL,75 - 79,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,67
CSS Luis Vives,CIUDAD LINEAL,75 - 79,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS EXCEPCIONAL,1
CSS Luis Vives,CIUDAD LINEAL,75 - 79,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,4
CSS Luis Vives,CIUDAD LINEAL,75 - 79,TELEASISTENCIA MAYORES ASP,86
CSS Luis Vives,CIUDAD LINEAL,75 - 79,TELEASISTENCIA MAYORES DEPENDENCIA,1
CSS Luis Vives,CIUDAD LINEAL,75 - 79,VIVIENDA,1
CSS Luis Vives,CIUDAD LINEAL,80 - 84,AYUDAS ACONDICIONAMIENTO GERIATRICO,1
CSS Luis Vives,CIUDAD LINEAL,80 - 84,CAMA ARTICULADA,1
CSS Luis Vives,CIUDAD LINEAL,80 - 84,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Luis Vives,CIUDAD LINEAL,80 - 84,CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),12
CSS Luis Vives,CIUDAD LINEAL,80 - 84,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),7
CSS Luis Vives,CIUDAD LINEAL,80 - 84,CENTRO DE DÍA DEPENDENCIA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),4
CSS Luis Vives,CIUDAD LINEAL,80 - 84,CUIDAR A QUIENES CUIDAN,1
CSS Luis Vives,CIUDAD LINEAL,80 - 84,DEPENDENCIA CM,116
CSS Luis Vives,CIUDAD LINEAL,80 - 84,GRÚA,1
CSS Luis Vives,CIUDAD LINEAL,80 - 84,RESIDENCIA TEMPORAL MAYORES CM,2
CSS Luis Vives,CIUDAD LINEAL,80 - 84,SALUD Y SEGURIDAD SOCIAL CM,1
CSS Luis Vives,CIUDAD LINEAL,80 - 84,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,4
CSS Luis Vives,CIUDAD LINEAL,80 - 84,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,95
CSS Luis Vives,CIUDAD LINEAL,80 - 84,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,1
CSS Luis Vives,CIUDAD LINEAL,80 - 84,TELEASISTENCIA DISCAPACITADOS DEPENDENCIA,1
CSS Luis Vives,CIUDAD LINEAL,80 - 84,TELEASISTENCIA MAYORES ASP,124
CSS Luis Vives,CIUDAD LINEAL,80 - 84,TELEASISTENCIA MAYORES DEPENDENCIA,3
CSS Luis Vives,CIUDAD LINEAL,80 - 84,VOLUNTARIOS CM,1
CSS Luis Vives,CIUDAD LINEAL,>=85,AYUDA ECONÓMICA PEQUEÑAS REPARACIONES DE VIVIENDA HABITUAL Y AYUDAS TÉCNICAS,1
CSS Luis Vives,CIUDAD LINEAL,>=85,AYUDAS ACONDICIONAMIENTO GERIATRICO,1
CSS Luis Vives,CIUDAD LINEAL,>=85,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Luis Vives,CIUDAD LINEAL,>=85,CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),5
CSS Luis Vives,CIUDAD LINEAL,>=85,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),9
CSS Luis Vives,CIUDAD LINEAL,>=85,CENTRO DE DÍA DEPENDENCIA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),6
CSS Luis Vives,CIUDAD LINEAL,>=85,CENTRO DE DÍA DEPENDENCIA (PERSONAS CON DETERIORO FÍSICO O RELACIONAL),2
CSS Luis Vives,CIUDAD LINEAL,>=85,CENTRO DE MAYORES CM,1
CSS Luis Vives,CIUDAD LINEAL,>=85,COMIDA A DOMICILIO,6
CSS Luis Vives,CIUDAD LINEAL,>=85,DEPENDENCIA CM,298
CSS Luis Vives,CIUDAD LINEAL,>=85,LAVANDERIA,1
CSS Luis Vives,CIUDAD LINEAL,>=85,RESIDENCIA (MAYORES ENFERMOS ALZHEIMER U OTRAS DEMENCIAS),1
CSS Luis Vives,CIUDAD LINEAL,>=85,RESIDENCIA MAYORES AUTONOMOS CM,1
CSS Luis Vives,CIUDAD LINEAL,>=85,RESIDENCIA MAYORES DE EMERGENCIA SOCIAL,2
CSS Luis Vives,CIUDAD LINEAL,>=85,RESIDENCIA TEMPORAL MAYORES CM,5
CSS Luis Vives,CIUDAD LINEAL,>=85,SERCAF MENORES,1
CSS Luis Vives,CIUDAD LINEAL,>=85,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,31
CSS Luis Vives,CIUDAD LINEAL,>=85,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,161
CSS Luis Vives,CIUDAD LINEAL,>=85,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,5
CSS Luis Vives,CIUDAD LINEAL,>=85,TELEASISTENCIA MAYORES ASP,139
CSS Luis Vives,CIUDAD LINEAL,>=85,TELEASISTENCIA MAYORES DEPENDENCIA,17
CSS Maravillas,CENTRO, ,ACOGIMIENTO FAMILIAR EN FAMILIA EXTENSA CM,1
CSS Maravillas,CENTRO, ,ACTIVIDADES DE OCIO Y TIEMPO LIBRE,2
CSS Maravillas,CENTRO, ,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,1
CSS Maravillas,CENTRO, ,AGENTES DE IGUALDAD,1
CSS Maravillas,CENTRO, ,APARTAMENTOS MUNICIPALES DE MAYORES,4
CSS Maravillas,CENTRO, ,APOYO SOCIOEDUCATIVO Y PRELABORAL ADOLESCENTES (ASPA),5
CSS Maravillas,CENTRO, ,APOYO VOLUNTARIO,1
CSS Maravillas,CENTRO, ,ASOCIACIONES ONG,55
CSS Maravillas,CENTRO, ,ATENCIÓN PSICOLOGICA,4
CSS Maravillas,CENTRO, ,AYUDA COMEDOR ESCOLAR,9
CSS Maravillas,CENTRO, ,AYUDA ECONÓMICA ACTIVIDADES PREVENTIVAS PARA MENORES,1
CSS Maravillas,CENTRO, ,AYUDA ECONÓMICA COMEDOR ESCOLAR,43
CSS Maravillas,CENTRO, ,AYUDA ECONÓMICA COMEDOR PARA MAYORES,1
CSS Maravillas,CENTRO, ,AYUDA ECONÓMICA ESCUELA INFANTIL,6
CSS Maravillas,CENTRO, ,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,38
CSS Maravillas,CENTRO, ,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,113
CSS Maravillas,CENTRO, ,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,32
CSS Maravillas,CENTRO, ,AYUDA PAGO NECESIDADES DE ALOJAMIENTO,2
CSS Maravillas,CENTRO, ,AYUDAS ACONDICIONAMIENTO GERIATRICO,1
CSS Maravillas,CENTRO, ,BECAS COMEDOR ESCOLAR CM,3
CSS Maravillas,CENTRO, ,CAMA ARTICULADA,5
CSS Maravillas,CENTRO, ,CENTRO ATENCIÓN PERSONAS SIN HOGAR / PUE,11
CSS Maravillas,CENTRO, ,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,11
CSS Maravillas,CENTRO, ,CENTRO DE APOYO A LA FAMILIA,2
CSS Maravillas,CENTRO, ,CENTRO DE ATENCION INFANCIA (CAI),6
CSS Maravillas,CENTRO, ,CENTRO DE ATENCIÓN A DROGODEPENDIENTES,2
CSS Maravillas,CENTRO, ,CENTRO DE DIA PARA MENORES (CRUZ ROJA),4
CSS Maravillas,CENTRO, ,CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),15
CSS Maravillas,CENTRO, ,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),6
CSS Maravillas,CENTRO, ,CENTRO DE DÍA DEPENDENCIA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),9
CSS Maravillas,CENTRO, ,CENTRO DE DÍA DEPENDENCIA (PERSONAS CON DETERIORO FÍSICO O RELACIONAL),3
CSS Maravillas,CENTRO, ,CENTRO DE PROMOCIÓN E INTEGRACIÓN CM,1
CSS Maravillas,CENTRO, ,CENTRO RESIDENCIA PARA MENORES Y SUS FAMILIAS SANTA MARIA DEL PARRAL,1
CSS Maravillas,CENTRO, ,CENTROS ABIERTOS ,12
CSS Maravillas,CENTRO, ,CENTROS ESCOLARES CM,1
CSS Maravillas,CENTRO, ,CENTROS RESIDENCIALES PARA MENORES Y SUS FAMILIAS JUBILEO 2000 Y SINODO 2005,4
CSS Maravillas,CENTRO, ,COBERTURA NECESIDADES BASICAS,21
CSS Maravillas,CENTRO, ,COMEDOR SOCIAL CM,4
CSS Maravillas,CENTRO, ,COMIDA A DOMICILIO,17
CSS Maravillas,CENTRO, ,DEPENDENCIA CM,294
CSS Maravillas,CENTRO, ,EDUCACIÓN / CULTURA CM,3
CSS Maravillas,CENTRO, ,EDUCADOR SOCIAL,11
CSS Maravillas,CENTRO, ,GRÚA,1
CSS Maravillas,CENTRO, ,INFORME DE DERIVACION Y PROPUESTA (MENORES),1
CSS Maravillas,CENTRO, ,INFORME DERIVACION GENERAL,2
CSS Maravillas,CENTRO, ,INGRESO MÍNIMO VITAL,192
CSS Maravillas,CENTRO, ,LAVANDERIA,5
CSS Maravillas,CENTRO, ,PENSION NO CONTRIBUTIVA CM,5
CSS Maravillas,CENTRO, ,PENSION NO CONTRIBUTIVA INVALIDEZ,5
CSS Maravillas,CENTRO, ,PENSIONES CONTRIBUTIVAS CM,1
CSS Maravillas,CENTRO, ,PISOS TUTELADOS MAYORES CM,5
CSS Maravillas,CENTRO, ,PROG. AT. SOCIAL PERS. ENFERMEDAD MENTAL CRÓNICA CM,1
CSS Maravillas,CENTRO, ,PROYECTOS PROPIOS DEL DISTRITO,17
CSS Maravillas,CENTRO, ,RENTA MINÍMA DE INSERCIÓN,204
CSS Maravillas,CENTRO, ,RESIDENCIA (MAYORES CON DETERIORO FÍSICO O RELACIONAL) ,2
CSS Maravillas,CENTRO, ,RESIDENCIA MAYORES AUTONOMOS CM,6
CSS Maravillas,CENTRO, ,RESIDENCIA MAYORES DE EMERGENCIA SOCIAL,6
CSS Maravillas,CENTRO, ,RESIDENCIA PRIVADA MAYORES,5
CSS Maravillas,CENTRO, ,RESIDENCIA TEMPORAL MAYORES CM,15
CSS Maravillas,CENTRO, ,RESPIRO FAMILIAR/FIN DE SEMANA / C.DÍA,3
CSS Maravillas,CENTRO, ,SALUD Y SEGURIDAD SOCIAL CM,5
CSS Maravillas,CENTRO, ,SERCAF MENORES,1
